Restaurant Name, Count Menu Item,Min Price,Max Price, Avg Price
The Fire Den,12,8.99,23.99,22.740000000000006
Abo's Pizza,6,2.75,23.5,18.791666666666668
Riccardo's Pizza,12,14.0,37.99,18.409999999999997
Steinway Pizza,10,16.0,20.0,17.95
Pirate's Cove,9,5.79,19.99,17.191111111111113
Burgers & Cupcakes,9,15.95,17.95,17.06111111111111
Rivertowne North Shore,12,4.95,19.99,16.40416666666667
Nino's Trattoria & Pizzeria,17,2.0,22.95,15.047058823529408
Original Giorgio's,18,4.95,17.95,14.727777777777773
Gran Morsi,11,8.0,14.0,13.454545454545455
Euro Pizzeria,10,2.5,18.99,13.192999999999998
Mellow Mushroom Pizza Bakers,7,10.95,12.95,12.521428571428572
Greek's Pizzeria,6,1.42,19.22,11.955
Uno Pizzeria & Grill,8,9.99,12.99,11.739999999999998
Milanos Pizza,11,4.5,15.5,11.568181818181818
Bravo Pizza Hollywood,6,5.99,16.99,11.49
Antonio's Pizza,7,1.79,16.99,10.389999999999999
Prima Pizza,8,3.49,16.99,10.302499999999997
